BAIRRO;QDE_LANCAMENTOS;VALOR_TOTAL_LANCADO
SAO FRANCISCO;1.708;8.367.291,61
SANTA HELENA;1.692;3.404.182,57
EUROPA;1.681;2.654.770,02
VILA PARIS;1.641;6.724.946,47
NOVA FLORESTA;1.639;3.879.725,60
SANTO ANDRE;1.598;3.879.698,51
NOVO GLORIA;1.595;2.766.883,59
MARIA GORETTI;1.537;2.692.280,40
MINASLANDIA;1.533;3.204.752,24
GUARANI;1.531;3.711.282,13
COQUEIROS;1.510;2.595.843,27
CIDADE JARDIM;1.500;9.033.801,94
OLARIA;1.481;1.668.114,42
NAZARE;1.471;2.593.287,55
MINAS BRASIL;1.470;3.147.608,64
POMPEIA;1.469;3.154.361,48
NOVO SAO LUCAS;1.465;2.978.673,38
DOM CABRAL;1.427;2.275.519,57
HORTO;1.417;4.833.501,18
CONJUNTO CALIFORNIA I;1.410;1.584.540,94
BARROCA;1.406;3.199.665,71
DOM JOAQUIM;1.359;6.824.283,48
BRASIL INDUSTRIAL;1.344;2.394.903,56
FLAVIO MARQUES LISBOA;1.341;2.193.107,75
OESTE;1.305;2.662.301,87
SAO JOSE;1.288;3.733.231,61
MARIA HELENA;1.283;2.753.524,85
VENDA NOVA;1.266;13.528.680,55
MIRAMAR;1.262;2.697.879,39
JULIANA;1.244;2.681.210,40
TEIXEIRA DIAS;1.235;1.785.859,15
ITAIPU;1.224;2.210.789,01
AEROPORTO;1.202;2.801.311,49
LAGOINHA;1.198;2.719.216,80
JARDIM SAO JOSE;1.190;2.145.722,56
SAO MARCOS;1.189;2.047.402,81
PROVIDENCIA;1.164;1.756.474,87
SAO SALVADOR;1.160;2.900.038,16
ALPES;1.159;2.425.347,49
LAGOINHA LEBLON;1.145;2.254.847,41
INCONFIDENCIA;1.098;2.396.998,03
OURO MINAS;1.081;1.669.406,53
ALTO DOS PINHEIROS;1.060;2.028.127,38
NOVA ESPERANCA;1.059;2.171.755,48
BRAUNAS;1.041;4.014.589,21
COMITECO;1.009;7.687.634,48
VALE DO JATOBA;1.005;1.592.360,44
JARDIM ATLANTICO;999;5.062.965,53
LAGOA;995;1.633.997,36
INDEPENDENCIA;964;1.898.355,02
EYMARD;945;1.577.450,41
CENACULO;928;1.201.075,24
PARQUE SAO PEDRO;922;2.057.983,63
APARECIDA SETIMA SECAO;918;2.650.002,80
IPE;908;1.713.366,47
MARIA VIRGINIA;898;2.655.695,99
JONAS VEIGA;886;1.617.254,80
SAUDADE;877;1.265.906,49
MANGABEIRAS;875;15.825.177,71
HORTO FLORESTAL;857;1.689.058,88
VERA CRUZ;849;1.397.553,89
MARAJO;837;1.217.285,45
ENGENHO NOGUEIRA;818;6.573.099,46
CONJUNTO CELSO MACHADO;807;1.395.521,69
CASA BRANCA;787;1.232.509,00
NOVA CINTRA;779;1.712.942,18
PARQUE SAO JOSE;778;1.341.888,91
BONSUCESSO;772;1.932.150,04
VISTA ALEGRE;761;1.282.464,27
ERMELINDA;755;1.807.474,21
DOM SILVERIO;752;1.076.052,59
BAIRRO NOVO DAS INDUSTRIAS;751;1.808.385,32
VITORIA;751;922.283,45
BOM JESUS;719;1.263.909,53
SAO PAULO;710;1.451.801,21
SOLAR DO BARREIRO;706;687.385,81
PIRAJA;704;1.153.955,45
CAMPO ALEGRE;702;776.840,47
ACAIACA;674;1.052.900,97
PETROPOLIS;661;1.067.428,54
MANGUEIRAS;636;1.121.600,11
CANAA;634;1.147.526,38
GARCAS;632;2.635.260,85
POUSADA SANTO ANTONIO;628;742.314,32
ETELVINA CARNEIRO;627;979.550,52
AARAO REIS;622;1.662.055,42
TAQUARIL;612;911.288,59
PILAR;611;2.203.307,25
MINEIRAO;609;919.176,54
URCA;600;960.519,45
FREI LEOPOLDO;592;931.189,68
PENHA;557;1.200.748,18
SAO CRISTOVAO;542;933.141,23
SAO TOMAZ;540;1.170.118,63
SANTA CECILIA;540;899.145,82
JARDINOPOLIS;535;1.309.369,65
NOVO SANTA CECILIA;518;1.023.123,92
SANTA MARGARIDA;518;863.610,88
JATOBA;504;1.133.389,80
BELMONTE;501;587.447,82
UNIVERSITARIO;500;2.406.589,88
ADEMAR MALDONADO;486;684.090,09
XANGRI LA;474;156.218,92
MONTE AZUL;463;2.257.930,41
ALVARO CAMARGOS;448;1.077.977,81
MADRE GERTRUDES;409;737.484,15
ITATIAIA;405;628.265,40
CONJUNTO CALIFORNIA II;360;278.804,05
LAJEDO;346;499.542,09
SUZANA;332;674.272,82
MARILANDIA;327;907.649,34
SAO GONCALO;327;530.787,92
ERNESTO DO NASCIMENTO;300;421.270,18
TUNEL DE IBIRITE;297;310.271,42
ALTO VERA CRUZ;253;272.028,20
OLHOS D AGUA;239;3.883.095,63
ATILA DE PAIVA;237;585.200,48
PONGELUPE;236;499.859,79
CIDADE JARDIM TAQUARIL;230;421.484,06
PIRINEUS;229;447.993,14
DISTRITO INDUSTRIAL DO JATOBA;226;1.679.765,35
XODO MARIZE;217;680.770,66
BAIRRO DAS INDUSTRIAS II;208;377.262,22
SAO DAMIAO;197;196.856,68
NOSSA SENHORA DO ROSARIO;194;127.032,64
MADRI;190;284.064,75
PRIMEIRO DE MAIO;176;201.013,74
CANADA;172;556.773,82
NOVA PAMPULHA;167;229.563,43
VALOR NULO (NAO REGISTRADO);155;769.766,64
CONJUNTO LAGOA;146;171.060,34
CDI JATOBA;128;2.833.029,89
SOLIMOES;127;336.244,10
SATELITE;120;250.294,29
CASTANHEIRA;115;338.205,21
GAMELEIRA;112;2.342.308,81
GRANJA DE FREITAS;110;182.541,86
VILA RICA;99;193.965,23
VILA JARDIM ALVORADA;91;72.741,40
LEONINA;86;211.475,20
VILA SUMARE;85;114.287,50
APOLONIA;83;63.408,63
BELA VITORIA;68;117.371,76
NOVO TUPI;65;116.322,44
SERRA DO CURRAL;65;910.636,24
SAO JOAO;61;40.841,65
VILA OESTE;54;63.072,54
MARIANO DE ABREU;49;24.247,71
VILA JARDIM SAO JOSE;46;31.256,03
UNIVERSO;40;31.728,91
BEIRA LINHA;40;134.737,89
SENHOR DOS PASSOS;39;41.567,88
VILA PIRATININGA;39;33.614,04
GRANJA WERNECK;38;590.550,47
VILA AEROPORTO;37;26.753,23
VILA NOVA CACHOEIRINHA I;37;70.728,31
VILA OLHOS D AGUA;35;45.666,26
JOAO PAULO II;33;573.420,49
CABANA DO PAI TOMAS;33;158.396,39
VENTOSA;33;51.841,26
VILA MINASLANDIA;32;21.446,13
CONJUNTO PAULO VI;31;15.045,22
BIQUINHAS;31;32.288,51
CONJUNTO SANTA MARIA;30;46.727,88
VILA NOVO SAO LUCAS;30;38.868,60
VILA MANTIQUEIRA;28;45.168,68
AMBROSINA;26;48.250,56
VENTOSA PRIMEIRA SECAO (Desativado);26;15.672,34
BARAO HOMEM DE MELO IV;25;16.593,41
FAZENDINHA;25;33.465,96
VILA COQUEIRAL;25;100.174,20
VILA SANTO ANTONIO BARROQUINHA;25;15.739,43
VILA DAS OLIVEIRAS;23;24.707,58
VILA COPACABANA;22;10.114,21
VILA VISTA ALEGRE;22;19.015,77
PEDREIRA PRADO LOPES;22;32.740,14
VILA NOVA PARAISO;21;16.196,15
NOSSA SENHORA DA CONCEICAO;21;23.742,54
JARDIM FELICIDADE;21;30.219,87
ALTA TENSAO I;20;18.118,47
CAMPUS UFMG;18;88.465,57
VILA JARDIM MONTANHES;18;21.837,21
VILA VERA CRUZ I;17;25.892,39
ACABA MUNDO;16;14.106,38
VILA PRIMEIRO DE MAIO;16;12.827,44
