,address,adm-fees,garage_places,price,rooms,square_foot,neighborhood,city,latitude,longitude,qde_lancamentos,vl_lancado,vl_medio_iptu
54,Rua Lucélia ,1.0,1,190000.0,2,65,piratininga, Belo Horizonte ,-19.8087894,-43.9894267,4116.0,5823625.12,1414.8749076773568
55,Rua Altinópolis ,10.0,1,199000.0,2,45,piratininga, Belo Horizonte ,-19.8079631,-43.9905913,4116.0,5823625.12,1414.8749076773568
56,Rua Altinópolis ,,1,309000.0,2,32,piratininga, Belo Horizonte ,-19.8079631,-43.9905913,4116.0,5823625.12,1414.8749076773568
57,Rua Altinópolis ,10.0,1,189000.0,2,45,piratininga, Belo Horizonte ,-19.8079631,-43.9905913,4116.0,5823625.12,1414.8749076773568
58,Rua Pinhal ,,1,230000.0,2,68,piratininga, Belo Horizonte ,-19.8059956,-43.9857692,4116.0,5823625.12,1414.8749076773568
59,Rua Pedra Coral ,1.0,1,258000.0,2,56,piratininga, Belo Horizonte ,-19.8136274,-43.9843688,4116.0,5823625.12,1414.8749076773568
60,Rua Erva Mate ,155.0,1,150000.0,2,48,piratininga, Belo Horizonte ,-19.8142173,-43.993901,4116.0,5823625.12,1414.8749076773568
61,"Rua Luiz Cosme, 25 ",,4,600000.0,4,450,palmeiras, Belo Horizonte ,-19.9640512,-43.9717642,1776.0,4096505.65,2306.591019144144
62,Rua Luiz Cosme ,170.0,2,350000.0,3,75,palmeiras, Belo Horizonte ,-19.9640512,-43.9717642,1776.0,4096505.65,2306.591019144144
63,Rua Wander Rocha Vargas ,110.0,--,210000.0,2,55,minaslandia, Belo Horizonte ,-19.8501531,-43.9324085,1533.0,3204752.24,2090.5102674494456
64,Rua Heroína Maria Quitéria ,220.0,2,555000.0,3,141,alto caicaras, Belo Horizonte ,-19.8996028,-43.9778398,2476.0,6078153.46,2454.827730210016
65,Rua Amaro Ribeiro Coelho ,100.0,1,430000.0,2,69,alto caicaras, Belo Horizonte ,-19.8990396,-43.9767449,2476.0,6078153.46,2454.827730210016
66,"Rua Heroína Maria Quitéria, 150 ",,--,335000.0,--,0,alto caicaras, Belo Horizonte ,-19.8996028,-43.9778398,2476.0,6078153.46,2454.827730210016
67,"Rua Alabandina, 629 ",300.0,2,330000.0,3,85,alto caicaras, Belo Horizonte ,-19.8981035,-43.9689459,2476.0,6078153.46,2454.827730210016
68,"Rua Albânia, 0 ",,2,299000.0,3,50,europa, Belo Horizonte ,-19.8017402,-43.9656919,1681.0,2654770.02,1579.2802022605592
69,"Rua Pedro Moreira de Abreu, 66 ",850.0,4,1500000.0,4,200,ouro preto, Belo Horizonte ,-19.8746802,-43.9843937,9166.0,19087017.21,2082.3715044730525
70,Rua Polônia ,,2,500000.0,3,150,vila jardim leblon, Belo Horizonte ,-19.8262206,-43.9922067,14.0,11866.58,847.6128571428571
